Date;Start;End;Total (grid load) [MWh] Original resolutions;Residual load [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions
Jan 1, 2023;12:00 AM;12:15 AM;9,720.75;1,890.75;424.75
Jan 1, 2023;12:15 AM;12:30 AM;9,641.25;1,739.5;443.5
Jan 1, 2023;12:30 AM;12:45 AM;9,609.5;1,490.25;546.25
Jan 1, 2023;12:45 AM;1:00 AM;9,565;1,646.25;519
Jan 1, 2023;1:00 AM;1:15 AM;9,473.5;1,366;222.5
Jan 1, 2023;1:15 AM;1:30 AM;9,448;1,216.75;383.25
Jan 1, 2023;1:30 AM;1:45 AM;9,550.25;1,346.75;653.25
Jan 1, 2023;1:45 AM;2:00 AM;9,463.75;1,115;766.5
Jan 1, 2023;2:00 AM;2:15 AM;9,358.5;1,119.75;764.75
Jan 1, 2023;2:15 AM;2:30 AM;9,306;917.25;863.5
Jan 1, 2023;2:30 AM;2:45 AM;9,250.75;1,051.5;943.5
Jan 1, 2023;2:45 AM;3:00 AM;9,188;906.5;1,065
Jan 1, 2023;3:00 AM;3:15 AM;9,140.5;1,308.25;1,078.25
Jan 1, 2023;3:15 AM;3:30 AM;9,012.25;1,358.5;1,113
Jan 1, 2023;3:30 AM;3:45 AM;8,989.25;1,455.5;1,106.25
Jan 1, 2023;3:45 AM;4:00 AM;8,997.5;1,545.5;1,088
Jan 1, 2023;4:00 AM;4:15 AM;8,962.75;1,402.75;1,084.5
Jan 1, 2023;4:15 AM;4:30 AM;8,911.25;1,414.5;1,097.5
Jan 1, 2023;4:30 AM;4:45 AM;8,906;1,473;1,128.25
Jan 1, 2023;4:45 AM;5:00 AM;8,931.5;1,520.25;1,101.25
Jan 1, 2023;5:00 AM;5:15 AM;8,970;1,292;1,240.25
Jan 1, 2023;5:15 AM;5:30 AM;8,969;1,425.75;1,194.75
Jan 1, 2023;5:30 AM;5:45 AM;8,979;1,525.75;1,129.5
Jan 1, 2023;5:45 AM;6:00 AM;8,936.25;1,475.75;1,145.5
Jan 1, 2023;6:00 AM;6:15 AM;8,841.25;1,301.5;1,329
Jan 1, 2023;6:15 AM;6:30 AM;8,887.75;1,415.75;1,347.5
Jan 1, 2023;6:30 AM;6:45 AM;8,828.75;1,368;1,321
Jan 1, 2023;6:45 AM;7:00 AM;8,840;1,421.25;1,289.25
Jan 1, 2023;7:00 AM;7:15 AM;9,002;1,295.75;1,122.75
Jan 1, 2023;7:15 AM;7:30 AM;9,054.25;1,410;1,045
Jan 1, 2023;7:30 AM;7:45 AM;9,112;1,446.25;982.25
Jan 1, 2023;7:45 AM;8:00 AM;9,168.25;1,582.25;930.5
Jan 1, 2023;8:00 AM;8:15 AM;9,100.5;1,616.75;895.25
Jan 1, 2023;8:15 AM;8:30 AM;9,171.5;1,682.75;929.5
Jan 1, 2023;8:30 AM;8:45 AM;9,303.25;1,802.25;799.75
Jan 1, 2023;8:45 AM;9:00 AM;9,410.5;1,806.75;761.75
Jan 1, 2023;9:00 AM;9:15 AM;9,560.75;1,772.5;554.25
Jan 1, 2023;9:15 AM;9:30 AM;9,786.5;1,798.5;569.75
Jan 1, 2023;9:30 AM;9:45 AM;9,954.75;1,850.25;538.25
Jan 1, 2023;9:45 AM;10:00 AM;10,087.75;1,826.75;657.25
Jan 1, 2023;10:00 AM;10:15 AM;10,021.25;1,533.5;468.75
Jan 1, 2023;10:15 AM;10:30 AM;10,188.25;1,629.75;489.75
Jan 1, 2023;10:30 AM;10:45 AM;10,399.25;1,799.75;472
Jan 1, 2023;10:45 AM;11:00 AM;10,562;1,932.25;434.75
Jan 1, 2023;11:00 AM;11:15 AM;10,692;1,988.25;408.5
Jan 1, 2023;11:15 AM;11:30 AM;10,946.5;2,123.5;311.5
Jan 1, 2023;11:30 AM;11:45 AM;11,093.5;2,120;296.5
Jan 1, 2023;11:45 AM;12:00 PM;11,117;2,106.75;287.25
Jan 1, 2023;12:00 PM;12:15 PM;11,120.5;2,293;311.5
Jan 1, 2023;12:15 PM;12:30 PM;11,145;2,502.5;279.5
Jan 1, 2023;12:30 PM;12:45 PM;11,080.75;2,577;250
Jan 1, 2023;12:45 PM;1:00 PM;10,985.5;2,526.25;322.75
Jan 1, 2023;1:00 PM;1:15 PM;11,018.5;2,557.5;489
Jan 1, 2023;1:15 PM;1:30 PM;10,962.75;2,684.25;462.5
Jan 1, 2023;1:30 PM;1:45 PM;10,916.25;2,936.5;323.75
Jan 1, 2023;1:45 PM;2:00 PM;10,849.75;3,078;319.25
Jan 1, 2023;2:00 PM;2:15 PM;10,844;2,518.5;652
Jan 1, 2023;2:15 PM;2:30 PM;10,828.25;2,576.25;566.5
Jan 1, 2023;2:30 PM;2:45 PM;10,884.5;2,998;398
Jan 1, 2023;2:45 PM;3:00 PM;10,840.25;3,068.75;193.25
Jan 1, 2023;3:00 PM;3:15 PM;10,952.25;3,049.25;438.75
Jan 1, 2023;3:15 PM;3:30 PM;10,892.75;3,024.25;371.75
Jan 1, 2023;3:30 PM;3:45 PM;10,950.75;3,297.75;101.75
Jan 1, 2023;3:45 PM;4:00 PM;10,972.5;3,579;35.75
Jan 1, 2023;4:00 PM;4:15 PM;11,156;4,010.25;51.75
Jan 1, 2023;4:15 PM;4:30 PM;11,306.5;4,350;104
Jan 1, 2023;4:30 PM;4:45 PM;11,486.5;4,649.75;81.25
Jan 1, 2023;4:45 PM;5:00 PM;11,726.5;5,009;39.75
Jan 1, 2023;5:00 PM;5:15 PM;12,041.25;5,426;37.25
Jan 1, 2023;5:15 PM;5:30 PM;12,143.25;5,555.75;36.75
Jan 1, 2023;5:30 PM;5:45 PM;12,245.75;5,670;36.75
Jan 1, 2023;5:45 PM;6:00 PM;12,270.25;5,683.75;35
Jan 1, 2023;6:00 PM;6:15 PM;12,273.5;5,765;82
Jan 1, 2023;6:15 PM;6:30 PM;12,226.5;5,790.75;89
Jan 1, 2023;6:30 PM;6:45 PM;12,148;5,735;93.75
Jan 1, 2023;6:45 PM;7:00 PM;12,039.25;5,677;78.5
Jan 1, 2023;7:00 PM;7:15 PM;12,023;5,716;93
