Datum;Anfang;Ende;Biomass [MWh] Originalauflösungen;Hydropower [MWh] Originalauflösungen;Wind offshore [MWh] Originalauflösungen;Wind onshore [MWh] Originalauflösungen;Photovoltaics [MWh] Originalauflösungen;Other renewable [MWh] Originalauflösungen;Nuclear [MWh] Originalauflösungen;Lignite [MWh] Originalauflösungen;Hard coal [MWh] Originalauflösungen;Fossil gas [MWh] Originalauflösungen;Hydro pumped storage [MWh] Originalauflösungen;Other conventional [MWh] Originalauflösungen
Jan 1, 2023;12:00 AM;12:15 AM;1,094.25;320;684.25;7,145.75;0;32.25;615.25;962.75;517;429.75;13.5;307.25
Jan 1, 2023;12:15 AM;12:30 AM;1,091.25;317.5;743.5;7,158.25;0;32.25;614.75;963.25;518;429.5;9.75;307.25
Jan 1, 2023;12:30 AM;12:45 AM;1,090.25;317.25;817;7,302.25;0;32.5;615;966.5;517;432;9.75;308.25
Jan 1, 2023;12:45 AM;1:00 AM;1,089.25;321.5;814.5;7,104.25;0;32.5;614.5;966.75;515.5;430.5;9.75;306
Jan 1, 2023;1:00 AM;1:15 AM;1,085.25;315.25;785.5;7,322;0;32.25;614.5;969;513.25;391.25;26.5;306.75
Jan 1, 2023;1:15 AM;1:30 AM;1,087.75;304.75;898.5;7,332.75;0;32.25;614.75;965.75;514;389.5;45;305
Jan 1, 2023;1:30 AM;1:45 AM;1,086.5;303.5;943.75;7,259.75;0;32.25;614.75;967.5;513.75;393.75;50.5;302
Jan 1, 2023;1:45 AM;2:00 AM;1,085.25;304.25;958.25;7,390.5;0;32.25;614.75;964.25;511;393.5;50.5;304.5
Jan 1, 2023;2:00 AM;2:15 AM;1,080.25;308.25;1,009.75;7,229;0;32.25;615;963;509.75;391.5;41.25;303
Jan 1, 2023;2:15 AM;2:30 AM;1,084.25;305.5;967;7,421.75;0;32.25;614.75;967;509;394.5;40.75;303.75
Jan 1, 2023;2:30 AM;2:45 AM;1,084.75;305.75;936.25;7,263;0;32.25;615.25;967.75;508;394.5;40.75;302.25
Jan 1, 2023;2:45 AM;3:00 AM;1,083.75;304;929.25;7,352.25;0;32.25;614.75;962.5;507.5;391;40.75;302.5
Jan 1, 2023;3:00 AM;3:15 AM;1,083.5;309.25;907;6,925.25;0;32.25;615;969.75;509;386.25;40.25;302.25
Jan 1, 2023;3:15 AM;3:30 AM;1,084;304.5;886.25;6,767.5;0;32.25;615;964.5;509.75;395.25;40.25;302.75
Jan 1, 2023;3:30 AM;3:45 AM;1,084.75;304.25;876.5;6,657.25;0;32.25;615.25;964.5;509.5;391.25;40.25;302.5
Jan 1, 2023;3:45 AM;4:00 AM;1,086.5;306.25;793.5;6,658.5;0;32.25;615.25;966;508.75;392;40.25;304.25
